Category,Item Name,16oz Price,22oz Price
"Non-Coffee","Matcha Latte'","109","129"
"Non-Coffee","Caramel Matcha","109","129"
"Non-Coffee","Milo Lava","109","129"
"Non-Coffee","Milo Matcha","109","129"
"Non-Coffee","Cookies & Cream Cloud","119","129"
"Non-Coffee","Taro Cloud Latte'","109","129"
"Strawberry Series","Strawberry Latte'","109","129"
"Strawberry Series","Strawberry Choco","109","129"
"Strawberry Series","Strawberry Matcha","119","139"
"Strawberry Series","Strawberry Taro","119","139"
"Blueberry Series","Blueberry Latte'","109","129"
"Blueberry Series","Blueberry Cloud","119","129"
"Blueberry Series","Blueberry Choco","109","129"
"Blueberry Series","Blueberry Matcha","119","139"